ANO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|SEXO|EDAD|CURSODEVIDA|GRUPOEDAD|POBLACION_7
2023|0|Bogotá|Hombres|4|Primera Infancia|00 a 04|50062
2023|0|Bogotá|Hombres|23|Juventud|20 a 24|67536
2023|0|Bogotá|Hombres|39|Adultez|35 a 39|60781
2023|0|Bogotá|Hombres|44|Adultez|40 a 44|52166
2023|0|Bogotá|Hombres|62|Vejez|60 a 64|33748
2023|0|Bogotá|Hombres|18|Juventud|15 a 19|50994
2023|0|Bogotá|Hombres|41|Adultez|40 a 44|57992
2023|0|Bogotá|Hombres|55|Adultez|55 a 59|40365
2023|0|Bogotá|Hombres|81|Vejez|80 a 84|6915
2023|0|Bogotá|Hombres|10|Infancia|10 a 14|47901
2023|0|Bogotá|Hombres|46|Adultez|45 a 49|47789
2023|0|Bogotá|Hombres|49|Adultez|45 a 49|43098
2023|0|Bogotá|Hombres|69|Vejez|65 a 69|21572
2023|0|Bogotá|Hombres|98|Vejez|95 a 99|439
2023|0|Bogotá|Hombres|99|Vejez|95 a 99|366
2023|0|Bogotá|Hombres|51|Adultez|50 a 54|41515
2023|0|Bogotá|Hombres|1|Primera Infancia|00 a 04|46492
2023|0|Bogotá|Mujeres|6|Infancia|05 a 09|47841
2023|0|Bogotá|Mujeres|15|Adolescencia|15 a 19|46377
2023|0|Bogotá|Mujeres|71|Vejez|70 a 74|26385
2023|0|Bogotá|Mujeres|82|Vejez|80 a 84|9855
2023|0|Bogotá|Mujeres|93|Vejez|90 a 94|1887
2023|0|Bogotá|Mujeres|98|Vejez|95 a 99|634
2023|0|Bogotá|Mujeres|13|Adolescencia|10 a 14|45842
2023|0|Bogotá|Mujeres|17|Adolescencia|15 a 19|48172
2023|0|Bogotá|Mujeres|23|Juventud|20 a 24|68139
2023|0|Bogotá|Mujeres|86|Vejez|85 a 89|5937
2023|0|Bogotá|Mujeres|87|Vejez|85 a 89|5150
2023|0|Bogotá|Mujeres|30|Adultez|30 a 34|77706
2023|0|Bogotá|Mujeres|46|Adultez|45 a 49|54848
2023|0|Bogotá|Mujeres|75|Vejez|75 a 79|19627
2023|0|Bogotá|Mujeres|95|Vejez|95 a 99|1256
2023|0|Bogotá|Mujeres|72|Vejez|70 a 74|24571
2023|0|Bogotá|Mujeres|96|Vejez|95 a 99|1009
2023|0|Bogotá|Mujeres|100|Vejez|100 o más|1352
2023|0|Bogotá|Mujeres|29|Adultez|25 a 29|79349
2023|0|Bogotá|Mujeres|73|Vejez|70 a 74|22852
2023|0|Bogotá|Mujeres|25|Juventud|25 a 29|76528
2023|0|Bogotá|Mujeres|51|Adultez|50 a 54|50307
2023|0|Bogotá|Mujeres|66|Vejez|65 a 69|36262
2023|0|Bogotá|Mujeres|69|Vejez|65 a 69|30206
2023|0|Bogotá|Mujeres|77|Vejez|75 a 79|16564
2023|0|Bogotá|Mujeres|22|Juventud|20 a 24|63325
2023|0|Bogotá|Mujeres|80|Vejez|80 a 84|12359
2023|0|Bogotá|Mujeres|90|Vejez|90 a 94|3235
2023|0|Bogotá|Mujeres|76|Vejez|75 a 79|18065
2023|0|Bogotá|Mujeres|48|Adultez|45 a 49|52202
2023|0|Bogotá|Mujeres|19|Juventud|15 a 19|52493
2023|0|Bogotá|Mujeres|55|Adultez|55 a 59|50479
2023|0|Bogotá|Mujeres|28|Juventud|25 a 29|80832
2023|0|Bogotá|Mujeres|26|Juventud|25 a 29|79577
2023|0|Bogotá|Mujeres|99|Vejez|95 a 99|494
2023|0|Bogotá|Mujeres|70|Vejez|70 a 74|28285
2023|0|Bogotá|Mujeres|94|Vejez|90 a 94|1551
2023|0|Bogotá|Mujeres|21|Juventud|20 a 24|59119
2023|0|Bogotá|Mujeres|61|Vejez|60 a 64|45814
2023|0|Bogotá|Mujeres|47|Adultez|45 a 49|53395
2023|0|Bogotá|Mujeres|79|Vejez|75 a 79|13718
2023|0|Bogotá|Mujeres|4|Primera Infancia|00 a 04|48001
2023|0|Bogotá|Mujeres|5|Primera Infancia|05 a 09|48152
2023|0|Bogotá|Mujeres|10|Infancia|10 a 14|46208
2023|0|Bogotá|Mujeres|18|Juventud|15 a 19|50004
2023|0|Bogotá|Mujeres|58|Adultez|55 a 59|49309
2023|0|Bogotá|Mujeres|63|Vejez|60 a 64|42394
2023|0|Bogotá|Mujeres|85|Vejez|85 a 89|6775
2023|0|Bogotá|Mujeres|89|Vejez|85 a 89|3803
2023|0|Bogotá|Mujeres|2|Primera Infancia|00 a 04|46044
2023|0|Bogotá|Mujeres|8|Infancia|05 a 09|47016
2023|0|Bogotá|Mujeres|92|Vejez|90 a 94|2282
2023|0|Bogotá|Mujeres|53|Adultez|50 a 54|50250
2023|0|Bogotá|Mujeres|84|Vejez|80 a 84|7719
2023|0|Bogotá|Mujeres|54|Adultez|50 a 54|50434
2023|0|Bogotá|Mujeres|56|Adultez|55 a 59|50340
2023|0|Bogotá|Mujeres|16|Adolescencia|15 a 19|47029
2023|0|Bogotá|Mujeres|41|Adultez|40 a 44|62368
2023|0|Bogotá|Mujeres|81|Vejez|80 a 84|11063
2023|0|Bogotá|Mujeres|88|Vejez|85 a 89|4441
2023|0|Bogotá|Mujeres|24|Juventud|20 a 24|72776
2023|0|Bogotá|Mujeres|36|Adultez|35 a 39|66743
2023|0|Bogotá|Mujeres|38|Adultez|35 a 39|64480
2023|0|Bogotá|Mujeres|67|Vejez|65 a 69|34180
2023|0|Bogotá|Mujeres|11|Infancia|10 a 14|45949
2023|0|Bogotá|Mujeres|35|Adultez|35 a 39|68424
2023|0|Bogotá|Mujeres|43|Adultez|40 a 44|59866
2023|0|Bogotá|Mujeres|57|Adultez|55 a 59|49982
2023|0|Bogotá|Mujeres|14|Adolescencia|10 a 14|46005
2023|0|Bogotá|Mujeres|60|Vejez|60 a 64|47187
2023|0|Bogotá|Mujeres|62|Vejez|60 a 64|44222
2023|0|Bogotá|Mujeres|74|Vejez|70 a 74|21222
2023|0|Bogotá|Mujeres|0|Primera Infancia|00 a 04|44079
2023|0|Bogotá|Mujeres|27|Juventud|25 a 29|81114
2023|0|Bogotá|Mujeres|31|Adultez|30 a 34|75917
2023|0|Bogotá|Mujeres|68|Vejez|65 a 69|32166
2023|0|Bogotá|Mujeres|83|Vejez|80 a 84|8741
2023|0|Bogotá|Mujeres|42|Adultez|40 a 44|61293
2023|0|Bogotá|Mujeres|97|Vejez|95 a 99|801
2023|0|Bogotá|Mujeres|3|Primera Infancia|00 a 04|47784
2023|0|Bogotá|Mujeres|50|Adultez|50 a 54|50687
2023|0|Bogotá|Mujeres|64|Vejez|60 a 64|40403
2023|0|Bogotá|Mujeres|1|Primera Infancia|00 a 04|44471
2023|0|Bogotá|Mujeres|52|Adultez|50 a 54|50167
2023|0|Bogotá|Mujeres|9|Infancia|05 a 09|46580
2023|0|Bogotá|Mujeres|49|Adultez|45 a 49|51264
2023|0|Bogotá|Mujeres|7|Infancia|05 a 09|47463
2023|0|Bogotá|Mujeres|65|Vejez|65 a 69|38358
2023|0|Bogotá|Mujeres|91|Vejez|90 a 94|2727
2023|0|Bogotá|Mujeres|20|Juventud|20 a 24|55564
2023|0|Bogotá|Mujeres|32|Adultez|30 a 34|74000
2023|0|Bogotá|Mujeres|34|Adultez|30 a 34|70238
2023|0|Bogotá|Mujeres|45|Adultez|45 a 49|56475
2023|0|Bogotá|Mujeres|37|Adultez|35 a 39|65384
2023|0|Bogotá|Mujeres|12|Adolescencia|10 a 14|45827
2023|0|Bogotá|Mujeres|40|Adultez|40 a 44|63201
2023|0|Bogotá|Mujeres|44|Adultez|40 a 44|58209
2023|0|Bogotá|Mujeres|33|Adultez|30 a 34|72089
2023|0|Bogotá|Mujeres|39|Adultez|35 a 39|63857
2023|0|Bogotá|Mujeres|59|Adultez|55 a 59|48353
2023|0|Bogotá|Mujeres|78|Vejez|75 a 79|15110
2023|1|Usaquén|Hombres|6|Infancia|05 a 09|3083
2023|1|Usaquén|Hombres|89|Vejez|85 a 89|327
2023|1|Usaquén|Hombres|97|Vejez|95 a 99|87
2023|1|Usaquén|Hombres|24|Juventud|20 a 24|4630
2023|1|Usaquén|Hombres|79|Vejez|75 a 79|1008
2023|1|Usaquén|Hombres|98|Vejez|95 a 99|83
2023|1|Usaquén|Hombres|22|Juventud|20 a 24|3822
2023|1|Usaquén|Hombres|59|Adultez|55 a 59|2985
2023|1|Usaquén|Hombres|70|Vejez|70 a 74|1896
2023|1|Usaquén|Hombres|37|Adultez|35 a 39|4579
2023|1|Usaquén|Hombres|42|Adultez|40 a 44|4305
2023|1|Usaquén|Hombres|67|Vejez|65 a 69|2295
2023|1|Usaquén|Hombres|72|Vejez|70 a 74|1781
2023|1|Usaquén|Hombres|93|Vejez|90 a 94|191
2023|1|Usaquén|Hombres|1|Primera infancia|00 a 04|3176
2023|1|Usaquén|Hombres|69|Vejez|65 a 69|2061
2023|1|Usaquén|Hombres|84|Vejez|80 a 84|614
2023|1|Usaquén|Hombres|95|Vejez|95 a 99|135
2023|1|Usaquén|Hombres|26|Juventud|25 a 29|4826
2023|1|Usaquén|Hombres|49|Adultez|45 a 49|3308
2023|1|Usaquén|Hombres|68|Vejez|65 a 69|2176
2023|1|Usaquén|Hombres|9|Infancia|05 a 09|2927
2023|1|Usaquén|Hombres|60|Vejez|60 a 64|2825
2023|1|Usaquén|Hombres|16|Adolescencia|15 a 19|2972
2023|1|Usaquén|Hombres|92|Vejez|90 a 94|207
2023|1|Usaquén|Hombres|81|Vejez|80 a 84|842
2023|1|Usaquén|Hombres|10|Infancia|10 a 14|2948
2023|1|Usaquén|Hombres|54|Adultez|50 a 54|3029
2023|1|Usaquén|Hombres|100|Vejez|100 o más|251
2023|1|Usaquén|Hombres|53|Adultez|50 a 54|3019
2023|1|Usaquén|Hombres|75|Vejez|75 a 79|1423
2023|1|Usaquén|Hombres|90|Vejez|90 a 94|271
2023|1|Usaquén|Hombres|19|Juventud|15 a 19|3366
2023|1|Usaquén|Hombres|71|Vejez|70 a 74|1809
2023|1|Usaquén|Hombres|29|Adultez|25 a 29|4906
2023|1|Usaquén|Hombres|31|Adultez|30 a 34|4843
2023|1|Usaquén|Hombres|30|Adultez|30 a 34|4927
2023|1|Usaquén|Hombres|47|Adultez|45 a 49|3605
2023|1|Usaquén|Hombres|65|Vejez|65 a 69|2546
2023|1|Usaquén|Hombres|91|Vejez|90 a 94|253
2023|1|Usaquén|Hombres|25|Juventud|25 a 29|4702
2023|1|Usaquén|Hombres|36|Adultez|35 a 39|4537
2023|1|Usaquén|Hombres|64|Vejez|60 a 64|2540
2023|1|Usaquén|Hombres|87|Vejez|85 a 89|401
2023|1|Usaquén|Hombres|3|Primera infancia|00 a 04|3065
2023|1|Usaquén|Hombres|12|Adolescencia|10 a 14|2964
2023|1|Usaquén|Hombres|38|Adultez|35 a 39|4419
2023|1|Usaquén|Hombres|78|Vejez|75 a 79|1108
2023|1|Usaquén|Hombres|61|Vejez|60 a 64|2840
2023|1|Usaquén|Hombres|34|Adultez|30 a 34|4625
2023|1|Usaquén|Hombres|58|Adultez|55 a 59|2954
2023|1|Usaquén|Hombres|94|Vejez|90 a 94|152
2023|1|Usaquén|Hombres|52|Adultez|50 a 54|3270
2023|1|Usaquén|Hombres|86|Vejez|85 a 89|461
2023|1|Usaquén|Hombres|20|Juventud|20 a 24|3345
2023|1|Usaquén|Hombres|4|Primera infancia|00 a 04|3015
2023|1|Usaquén|Hombres|73|Vejez|70 a 74|1636
2023|1|Usaquén|Hombres|77|Vejez|75 a 79|1223
2023|1|Usaquén|Hombres|0|Primera infancia|00 a 04|3195
2023|1|Usaquén|Hombres|23|Juventud|20 a 24|4236
2023|1|Usaquén|Hombres|27|Juventud|25 a 29|4934
2023|1|Usaquén|Hombres|28|Juventud|25 a 29|5015
2023|1|Usaquén|Hombres|56|Adultez|55 a 59|2966
2023|1|Usaquén|Hombres|11|Infancia|10 a 14|2931
2023|1|Usaquén|Hombres|15|Adolescencia|15 a 19|2974
2023|1|Usaquén|Hombres|63|Vejez|60 a 64|2777
2023|1|Usaquén|Hombres|33|Adultez|30 a 34|4759
2023|1|Usaquén|Hombres|35|Adultez|35 a 39|4650
2023|1|Usaquén|Hombres|80|Vejez|80 a 84|935
2023|1|Usaquén|Hombres|7|Infancia|05 a 09|3077
2023|1|Usaquén|Hombres|18|Juventud|15 a 19|3178
2023|1|Usaquén|Hombres|82|Vejez|80 a 84|728
2023|1|Usaquén|Hombres|43|Adultez|40 a 44|4230
2023|1|Usaquén|Hombres|41|Adultez|40 a 44|4397
2023|1|Usaquén|Hombres|13|Adolescencia|10 a 14|2918
2023|1|Usaquén|Hombres|66|Vejez|65 a 69|2405
2023|1|Usaquén|Hombres|21|Juventud|20 a 24|3636
2023|1|Usaquén|Hombres|55|Adultez|55 a 59|3089
2023|1|Usaquén|Hombres|44|Adultez|40 a 44|4150
2023|1|Usaquén|Hombres|45|Adultez|45 a 49|3974
2023|1|Usaquén|Hombres|88|Vejez|85 a 89|359
2023|1|Usaquén|Hombres|83|Vejez|80 a 84|634
2023|1|Usaquén|Hombres|85|Vejez|85 a 89|520
2023|1|Usaquén|Hombres|99|Vejez|95 a 99|75
2023|1|Usaquén|Hombres|17|Adolescencia|15 a 19|2952
2023|1|Usaquén|Hombres|40|Adultez|40 a 44|4407
2023|1|Usaquén|Hombres|46|Adultez|45 a 49|3872
2023|1|Usaquén|Hombres|48|Adultez|45 a 49|3414
2023|1|Usaquén|Hombres|51|Adultez|50 a 54|3119
2023|1|Usaquén|Hombres|74|Vejez|70 a 74|1543
2023|1|Usaquén|Hombres|76|Vejez|75 a 79|1307
2023|1|Usaquén|Hombres|62|Vejez|60 a 64|2871
2023|1|Usaquén|Hombres|5|Primera infancia|05 a 09|3162
2023|1|Usaquén|Hombres|14|Adolescencia|10 a 14|2830
2023|1|Usaquén|Hombres|50|Adultez|50 a 54|3324
2023|1|Usaquén|Hombres|2|Primera infancia|00 a 04|3124
2023|1|Usaquén|Hombres|96|Vejez|95 a 99|123
2023|1|Usaquén|Hombres|39|Adultez|35 a 39|4525
2023|1|Usaquén|Hombres|8|Infancia|05 a 09|3047
2023|1|Usaquén|Hombres|32|Adultez|30 a 34|4722
2023|1|Usaquén|Hombres|57|Adultez|55 a 59|2906
2023|1|Usaquén|Mujeres|89|Vejez|85 a 89|534
2023|1|Usaquén|Mujeres|96|Vejez|95 a 99|212
2023|1|Usaquén|Mujeres|25|Juventud|25 a 29|5016
2023|1|Usaquén|Mujeres|31|Adultez|30 a 34|5574
2023|1|Usaquén|Mujeres|71|Vejez|70 a 74|2695
2023|1|Usaquén|Mujeres|1|Primera infancia|00 a 04|3024
2023|1|Usaquén|Mujeres|90|Vejez|90 a 94|464
2023|1|Usaquén|Mujeres|18|Juventud|15 a 19|3187
2023|1|Usaquén|Mujeres|46|Adultez|45 a 49|4536
2023|1|Usaquén|Mujeres|63|Vejez|60 a 64|3769
2023|1|Usaquén|Mujeres|45|Adultez|45 a 49|4788
2023|1|Usaquén|Mujeres|14|Adolescencia|10 a 14|2831
2023|1|Usaquén|Mujeres|47|Adultez|45 a 49|4363
2023|1|Usaquén|Mujeres|73|Vejez|70 a 74|2482
2023|1|Usaquén|Mujeres|57|Adultez|55 a 59|3801
2023|1|Usaquén|Mujeres|100|Vejez|100 o más|390
2023|1|Usaquén|Mujeres|43|Adultez|40 a 44|4952
2023|1|Usaquén|Mujeres|48|Adultez|45 a 49|4231
2023|1|Usaquén|Mujeres|69|Vejez|65 a 69|3110
2023|1|Usaquén|Mujeres|32|Adultez|30 a 34|5507
2023|1|Usaquén|Mujeres|56|Adultez|55 a 59|3959
2023|1|Usaquén|Mujeres|0|Primera infancia|00 a 04|3052
2023|1|Usaquén|Mujeres|64|Vejez|60 a 64|3760
2023|1|Usaquén|Mujeres|11|Infancia|10 a 14|2906
2023|1|Usaquén|Mujeres|80|Vejez|80 a 84|1398
2023|1|Usaquén|Mujeres|29|Adultez|25 a 29|5575
2023|1|Usaquén|Mujeres|60|Vejez|60 a 64|3955
2023|1|Usaquén|Mujeres|67|Vejez|65 a 69|3238
2023|1|Usaquén|Mujeres|62|Vejez|60 a 64|3979
2023|1|Usaquén|Mujeres|78|Vejez|75 a 79|1708
2023|1|Usaquén|Mujeres|85|Vejez|85 a 89|824
2023|1|Usaquén|Mujeres|88|Vejez|85 a 89|555
2023|1|Usaquén|Mujeres|8|Infancia|05 a 09|2992
2023|1|Usaquén|Mujeres|10|Infancia|10 a 14|2844
2023|1|Usaquén|Mujeres|44|Adultez|40 a 44|4833
2023|1|Usaquén|Mujeres|59|Adultez|55 a 59|4113
2023|1|Usaquén|Mujeres|2|Primera infancia|00 a 04|2981
2023|1|Usaquén|Mujeres|66|Vejez|65 a 69|3359
2023|1|Usaquén|Mujeres|65|Vejez|65 a 69|3592
2023|1|Usaquén|Mujeres|72|Vejez|70 a 74|2632
2023|1|Usaquén|Mujeres|77|Vejez|75 a 79|1874
2023|1|Usaquén|Mujeres|38|Adultez|35 a 39|5135
2023|1|Usaquén|Mujeres|36|Adultez|35 a 39|5374
2023|1|Usaquén|Mujeres|81|Vejez|80 a 84|1290
2023|1|Usaquén|Mujeres|28|Juventud|25 a 29|5527
2023|1|Usaquén|Mujeres|93|Vejez|90 a 94|325
2023|1|Usaquén|Mujeres|13|Adolescencia|10 a 14|2900
2023|1|Usaquén|Mujeres|83|Vejez|80 a 84|1020
2023|1|Usaquén|Mujeres|99|Vejez|95 a 99|111
2023|1|Usaquén|Mujeres|39|Adultez|35 a 39|5088
2023|1|Usaquén|Mujeres|94|Vejez|90 a 94|285
2023|1|Usaquén|Mujeres|4|Primera infancia|00 a 04|2892
2023|1|Usaquén|Mujeres|35|Adultez|35 a 39|5390
2023|1|Usaquén|Mujeres|7|Infancia|05 a 09|2984
2023|1|Usaquén|Mujeres|12|Adolescencia|10 a 14|2882
2023|1|Usaquén|Mujeres|17|Adolescencia|15 a 19|3002
2023|1|Usaquén|Mujeres|33|Adultez|30 a 34|5402
2023|1|Usaquén|Mujeres|54|Adultez|50 a 54|3913
2023|1|Usaquén|Mujeres|21|Juventud|20 a 24|3800
2023|1|Usaquén|Mujeres|98|Vejez|95 a 99|144
2023|1|Usaquén|Mujeres|42|Adultez|40 a 44|4847
2023|1|Usaquén|Mujeres|51|Adultez|50 a 54|4072
2023|1|Usaquén|Mujeres|3|Primera infancia|00 a 04|2928
2023|1|Usaquén|Mujeres|84|Vejez|80 a 84|929
2023|1|Usaquén|Mujeres|97|Vejez|95 a 99|166
2023|1|Usaquén|Mujeres|5|Primera infancia|05 a 09|3110
2023|1|Usaquén|Mujeres|9|Infancia|05 a 09|2991
2023|1|Usaquén|Mujeres|49|Adultez|45 a 49|4051
2023|1|Usaquén|Mujeres|74|Vejez|70 a 74|2351
2023|1|Usaquén|Mujeres|75|Vejez|75 a 79|2167
2023|1|Usaquén|Mujeres|41|Adultez|40 a 44|5075
2023|1|Usaquén|Mujeres|50|Adultez|50 a 54|4060
2023|1|Usaquén|Mujeres|82|Vejez|80 a 84|1116
2023|1|Usaquén|Mujeres|34|Adultez|30 a 34|5460
2023|1|Usaquén|Mujeres|68|Vejez|65 a 69|3142
2023|1|Usaquén|Mujeres|87|Vejez|85 a 89|665
2023|1|Usaquén|Mujeres|16|Adolescencia|15 a 19|2843
2023|1|Usaquén|Mujeres|53|Adultez|50 a 54|3841
2023|1|Usaquén|Mujeres|37|Adultez|35 a 39|5199
2023|1|Usaquén|Mujeres|92|Vejez|90 a 94|353
2023|1|Usaquén|Mujeres|22|Juventud|20 a 24|4095
2023|1|Usaquén|Mujeres|20|Juventud|20 a 24|3606
2023|1|Usaquén|Mujeres|95|Vejez|95 a 99|223
2023|1|Usaquén|Mujeres|6|Infancia|05 a 09|3013
2023|1|Usaquén|Mujeres|27|Juventud|25 a 29|5465
2023|1|Usaquén|Mujeres|55|Adultez|55 a 59|3960
2023|1|Usaquén|Mujeres|76|Vejez|75 a 79|1967
2023|1|Usaquén|Mujeres|15|Adolescencia|15 a 19|2936
2023|1|Usaquén|Mujeres|24|Juventud|20 a 24|4866
2023|1|Usaquén|Mujeres|23|Juventud|20 a 24|4423
2023|1|Usaquén|Mujeres|19|Juventud|15 a 19|3334
2023|1|Usaquén|Mujeres|79|Vejez|75 a 79|1583
2023|1|Usaquén|Mujeres|58|Adultez|55 a 59|3910
