year,district,age_range,entries,population,percentage
2023,13- Teusaquillo,50-54,17,9691,"0.17542049324115158394"
2023,14- Los Martires,50-54,367,4555,8.0570801317233809
2023,15- Antonio Narino,50-54,368,4682,7.8598889363519863
2023,16- Puente Aranda,50-54,370,16016,2.3101898101898102
2023,17- La Candelaria,50-54,192,1155,16.6233766233766234
2023,18- Rafael Uribe,50-54,2566,21755,11.7949896575499885
2023,19- Ciudad Bolivar,50-54,7265,34074,21.3212420027000059
2023,20- Sumapaz,50-54,151,248,60.8870967741935484
2023,1- Usaquen,55-59,1944,34643,5.6115232514505095
2023,2- Chapinero,55-59,58,9859,"0.58829495892078304088"
2023,3- Santa Fe,55-59,1209,5210,23.2053742802303263
2023,4- San Cristobal,55-59,4910,23117,21.2397802483021153
2023,5- Usme,55-59,6010,19778,30.3872990191121448
2023,6- Tunjuelito,55-59,2578,10206,25.2596511855771115
2023,7- Bosa,55-59,7591,38299,"19.8203608449306770"
2023,8- Kennedy,55-59,6903,59225,"11.6555508653440270"
2023,9- Fontibon,55-59,2129,25065,8.4939158188709356
2023,10- Engativa,55-59,5435,51654,10.5219344097262555
2023,11- Suba,55-59,6648,78576,8.4605986560781918
2023,12- Barrios Unidos,55-59,134,9145,1.4652815746309459
2023,13- Teusaquillo,55-59,25,10570,"0.23651844843897824030"
2023,14- Los Martires,55-59,396,4569,8.6671043992120814
2023,15- Antonio Narino,55-59,441,5070,8.6982248520710059
2023,16- Puente Aranda,55-59,522,17070,3.0579964850615114
2023,17- La Candelaria,55-59,245,1131,21.6622458001768347
2023,18- Rafael Uribe,55-59,3181,21552,14.7596510764662212
2023,19- Ciudad Bolivar,55-59,8024,30999,"25.8847059582567180"
2023,20- Sumapaz,55-59,139,200,"69.5000000000000000"
2023,1- Usaquen,5-9,1219,30386,4.0117159218060949
2023,2- Chapinero,5-9,50,8198,"0.60990485484264454745"
2023,3- Santa Fe,5-9,714,6522,10.9475620975160994
2023,4- San Cristobal,5-9,2201,26784,8.2175925925925926
